Customer ID,Gender,Age,City,Membership Type,Total Spend,Items Purchased,Average Rating,Discount Applied,Days Since Last Purchase,Satisfaction Level,Average Order Value,Age Group,Customer Status
101,Female,29,New York,Gold,1120.2,14,4.6,Yes,25,Satisfied,80.01,25-34,Active
102,Male,34,Los Angeles,Silver,780.5,11,4.1,No,18,Neutral,70.95,25-34,Active
103,Female,43,Chicago,Bronze,510.75,9,3.4,Yes,42,Unsatisfied,56.75,35-49,At Risk
104,Male,30,San Francisco,Gold,1480.3,19,4.7,No,12,Satisfied,77.91,25-34,Active
105,Male,27,Miami,Silver,720.4,13,4.0,Yes,55,Unsatisfied,55.42,25-34,At Risk
106,Female,37,Houston,Bronze,440.8,8,3.1,No,22,Neutral,55.1,35-49,Active
107,Female,31,New York,Gold,1150.6,15,4.5,Yes,28,Satisfied,76.71,25-34,Active
108,Male,35,Los Angeles,Silver,800.9,12,4.2,No,14,Neutral,66.74,25-34,Active
109,Female,41,Chicago,Bronze,495.25,10,3.6,Yes,40,Unsatisfied,49.52,35-49,At Risk
110,Male,28,San Francisco,Gold,1520.1,21,4.8,No,9,Satisfied,72.39,25-34,Active
111,Male,32,Miami,Silver,690.3,11,3.8,Yes,34,Unsatisfied,62.75,25-34,At Risk
112,Female,36,Houston,Bronze,470.5,7,3.2,No,20,Neutral,67.21,35-49,Active
113,Female,30,New York,Gold,1200.8,16,4.3,Yes,21,Satisfied,75.05,25-34,Active
114,Male,33,Los Angeles,Silver,820.75,13,4.4,No,15,Satisfied,63.13,25-34,Active
115,Female,42,Chicago,Bronze,530.4,9,3.5,Yes,38,Unsatisfied,58.93,35-49,At Risk
116,Male,29,San Francisco,Gold,1360.2,18,4.9,No,11,Satisfied,75.57,25-34,Active
117,Male,26,Miami,Silver,700.6,12,3.7,Yes,48,Unsatisfied,58.38,25-34,At Risk
118,Female,38,Houston,Bronze,450.9,8,3.0,No,25,Neutral,56.36,35-49,Active
119,Female,32,New York,Gold,1170.3,14,4.7,Yes,29,Satisfied,83.59,25-34,Active
120,Male,34,Los Angeles,Silver,790.2,11,4.0,No,16,Neutral,71.84,25-34,Active
121,Female,43,Chicago,Bronze,505.75,10,3.3,Yes,41,Unsatisfied,50.58,35-49,At Risk
122,Male,30,San Francisco,Gold,1470.5,20,4.8,No,13,Satisfied,73.53,25-34,Active
123,Male,27,Miami,Silver,710.4,13,4.1,Yes,54,Unsatisfied,54.65,25-34,At Risk
124,Female,37,Houston,Bronze,430.8,7,3.4,No,23,Neutral,61.54,35-49,Active
125,Female,31,New York,Gold,1140.6,15,4.6,Yes,27,Satisfied,76.04,25-34,Active
126,Male,35,Los Angeles,Silver,810.9,12,4.3,No,13,Neutral,67.58,25-34,Active
127,Female,41,Chicago,Bronze,485.25,9,3.6,Yes,39,Unsatisfied,53.92,35-49,At Risk
128,Male,28,San Francisco,Gold,1500.1,21,4.9,No,10,Satisfied,71.43,25-34,Active
129,Male,32,Miami,Silver,670.3,10,3.8,Yes,33,Unsatisfied,67.03,25-34,At Risk
130,Female,36,Houston,Bronze,460.5,8,3.1,No,19,Neutral,57.56,35-49,Active
131,Female,30,New York,Gold,1190.8,16,4.5,Yes,20,Satisfied,74.42,25-34,Active
132,Male,33,Los Angeles,Silver,830.75,13,4.2,No,14,Satisfied,63.9,25-34,Active
133,Female,42,Chicago,Bronze,520.4,9,3.5,Yes,37,Unsatisfied,57.82,35-49,At Risk
134,Male,29,San Francisco,Gold,1370.2,18,4.7,No,10,Satisfied,76.12,25-34,Active
135,Male,26,Miami,Silver,690.6,12,3.9,Yes,47,Unsatisfied,57.55,25-34,At Risk
136,Female,38,Houston,Bronze,440.9,8,3.2,No,24,Neutral,55.11,35-49,Active
137,Female,32,New York,Gold,1160.3,14,4.4,Yes,22,Satisfied,82.88,25-34,Active
138,Male,34,Los Angeles,Silver,800.2,11,4.1,No,17,Neutral,72.75,25-34,Active
139,Female,43,Chicago,Bronze,500.75,10,3.3,Yes,40,Unsatisfied,50.08,35-49,At Risk
140,Male,30,San Francisco,Gold,1460.5,20,4.8,No,12,Satisfied,73.03,25-34,Active
